Выборы Президента Российской Федерации																																																																																																
																																																																																																
Наименование Избирательной комиссии:    Василеостровская №2																																																																																																
																																																																																																
Итоги голосования 																																																																																																
																																																																																																
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818					
																																																																																																
24	Против всех	3526	33	81	37	47	47	40	44	44	46	34	30	62	45	42	54	30	59	53	36	54	43	50	41	34	47	37	31	42	42	42	56	42	67	36	33	46	58	41	34	62	45	28	23	33	54	78	54	78	60	58	46	20	46	49	68	49	41	51	57	24	43	63	58	18	22	51	52	55	47	33	42	42	43	41	35	5	0	4	7	0	64	9	4	0	2	1	0	19	2					
		4.14%	3.23%	4.81%	3.39%	4.78%	4.51%	3.50%	4.53%	4.94%	4.07%	3.14%	3.34%	5.14%	3.70%	4.57%	5.17%	3.58%	4.72%	4.15%	3.56%	4.61%	4.47%	5.52%	3.87%	3.37%	4.50%	3.98%	3.12%	4.27%	3.17%	3.43%	4.35%	3.70%	5.99%	3.91%	4.42%	5.28%	4.94%	3.69%	3.01%	4.96%	3.80%	3.68%	2.29%	3.01%	4.21%	4.99%	3.72%	5.47%	4.90%	3.97%	3.50%	3.17%	3.83%	4.63%	6.97%	4.13%	3.67%	4.12%	4.93%	2.66%	3.48%	4.77%	4.26%	2.62%	3.26%	3.81%	4.28%	4.42%	3.60%	3.23%	3.21%	3.53%	3.27%	3.21%	2.67%	15.62%	0.00%	8.16%	8.64%	0.00%	11.11%	14.29%	12.90%	0.00%	7.41%	2.50%	0.00%	14.50%	8.70%					
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
