Выборы Президента Российской Федерации																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Калининская №11																																																																																																			
																																																																																																			
Итоги голосования 																																																																																																			
																																																																																																			
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420					
																																																																																																			
24	Против всех	4583	76	41	86	67	68	53	78	81	41	62	76	42	40	43	44	61	44	50	39	55	55	43	37	53	69	52	56	52	35	50	46	37	55	51	49	48	49	40	71	38	39	46	58	60	61	67	57	50	46	42	45	54	40	44	58	64	44	40	32	46	61	53	46	57	63	28	42	51	37	36	66	39	62	57	40	36	46	35	40	35	53	34	23	54	46	41	29	46	50	84	57	10					
		3.76%	7.30%	3.96%	4.40%	4.51%	4.76%	3.21%	4.77%	5.13%	2.63%	3.98%	4.78%	3.02%	3.36%	3.81%	3.55%	4.31%	3.64%	3.94%	3.49%	4.20%	4.35%	3.63%	3.37%	3.53%	4.28%	3.39%	4.03%	3.60%	2.55%	3.64%	3.51%	2.98%	4.66%	4.42%	3.90%	4.02%	4.15%	2.64%	4.21%	2.51%	3.06%	3.92%	3.89%	3.93%	4.00%	4.41%	3.73%	3.77%	3.47%	3.05%	3.67%	4.30%	3.03%	3.55%	3.98%	4.45%	2.87%	3.26%	2.45%	2.99%	4.25%	3.55%	3.47%	4.12%	4.16%	2.14%	3.54%	3.74%	3.11%	2.76%	4.88%	3.05%	5.54%	3.96%	3.14%	3.28%	3.71%	2.82%	3.32%	3.02%	4.38%	2.83%	2.66%	4.18%	3.82%	3.19%	2.89%	4.36%	3.77%	4.88%	4.33%	4.03%					
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
