Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Богучанская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	168	0	4	4	4	0	0	0	3	5	8	0	6	2	3	6	13	6	7	2	4	5	0	7	27	0	0	11	1	11	7	0	15	3	4	0					
		0.76%	0.00%	1.25%	0.35%	0.97%	0.00%	0.00%	0.00%	0.96%	0.51%	0.83%	0.00%	0.58%	0.29%	0.43%	0.68%	1.65%	0.69%	1.04%	0.36%	0.44%	0.68%	0.00%	0.60%	2.33%	0.00%	0.00%	0.68%	1.20%	0.72%	0.81%	0.00%	1.57%	0.80%	0.54%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	15425	40	231	784	301	37	13	99	244	776	699	75	583	447	467	539	504	595	406	418	662	552	165	845	799	120	354	1099	56	1025	639	358	651	300	527	15					
		69.52%	86.96%	71.96%	68.53%	73.24%	75.51%	65.00%	68.28%	78.46%	78.38%	72.44%	78.13%	56.82%	64.04%	66.91%	60.97%	63.88%	68.08%	60.42%	76.28%	72.83%	75.00%	67.35%	72.28%	68.94%	68.97%	75.32%	67.80%	67.47%	67.26%	74.39%	76.01%	68.31%	80.21%	71.51%	93.75%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	131	1	0	3	1	0	0	0	0	3	4	0	9	11	7	6	13	8	15	1	6	2	1	3	8	0	3	12	0	3	3	1	1	0	6	0					
		0.59%	2.17%	0.00%	0.26%	0.24%	0.00%	0.00%	0.00%	0.00%	0.30%	0.41%	0.00%	0.88%	1.58%	1.00%	0.68%	1.65%	0.92%	2.23%	0.18%	0.66%	0.27%	0.41%	0.26%	0.69%	0.00%	0.64%	0.74%	0.00%	0.20%	0.35%	0.21%	0.10%	0.00%	0.81%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
